_id,itemName,categoryId,categoryName,storeName,storeOwnerName,storePolicies,storeFreeShippingTotal,storeId,imageArray,itemRating,badges-bestseller,badges-trending,singlePrice,pricedOptions,unpricedOptions,customOptions,maxQuantity,inserts-niceChoice,inserts-othersWant,quickFacts-handmade,quickFacts-materials,description,shipTime,shipFrom,shipCost,faqs
18,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
19,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
20,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
21,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
22,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
23,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
24,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
25,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
26,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
27,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
28,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
29,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
30,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
31,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
32,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
33,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
34,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
35,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
36,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
37,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
38,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
39,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
40,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
41,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
42,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
43,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
44,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
45,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
46,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
47,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
48,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
49,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
50,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
51,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
52,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
53,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
54,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
55,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
56,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
57,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
58,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
59,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
60,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
61,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
62,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
63,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
64,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
65,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
66,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
67,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
68,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
69,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
70,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
71,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
72,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
73,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
74,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
75,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
76,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
77,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
78,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
79,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
80,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
81,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
82,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
83,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
84,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
85,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
86,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
87,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
88,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
89,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
90,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
91,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
92,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
93,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
94,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
95,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
96,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
97,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
98,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
99,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
100,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
101,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
102,,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,FALSE,FALSE,,,,,,
111,Database Tester,101,Electronics,Techopalypse,Tester123,"{""exchanges"":true,""returns"":true,""refunds"":true,""paymentsAccepted"":{""Credit/Debit"":true,""Paypal"":true,""Etsy Credit/Gift"":true},""custom"":[{""heading"":""custom policy 1"",""description"":""this is a custom policy""}]}",$35.00,101,,,TRUE,TRUE,,"[{""menuLabel"":""Size & Color"",""options"":[{""value"":0,""optionLabel"":""white one size"",""price"":23.9},{""value"":1,""optionLabel"":""black one size"",""price"":23.9},{""value"":2,""optionLabel"":""white plus size"",""price"":26.9},{""value"":3,""optionLabel"":""black plus size"",""price"":26.9}]},{""menuLabel"":""Customization?"",""options"":[{""value"":0,""optionLabel"":""No thank you!"",""price"":0},{""value"":1,""optionLabel"":""Black Floral Initial"",""price"":6},{""value"":2,""optionLabel"":""Gold Floral Initial"",""price"":6}]}]","[{""menuLabel"":""Color"",""options"":[{""value"":0,""optionLabel"":""Black""},{""value"":1,""optionLabel"":""Gold""}]},{""menuLabel"":""Size"",""options"":[{""value"":0,""optionLabel"":""Regular""},{""value"":1,""optionLabel"":""Large""}]}]","{""type"":""field"",""label"":""Add your personalization (optional)"",""note"":""For customized robes please list one letter initial & Name or Title per each robe. Thank you!"",""default"":""Enter your input here""}",101,TRUE,TRUE,TRUE,"""satin, lace""","""This is a tool for testing database exports and imports""","""instant delivery""",online,0,"[{""question"":""Is this a FAQ question property?"",""answer"":""Yes, it is""},{""question"":""Will this fit Shrek?"",""answer"":""Yes, one size fits all includes ogres.""}]"
